才能名,link,発揮効果,発揮条件,発揮対象,発揮確率
迸る衝動,https://dabimas.jp/kouryaku/abilities/2761141583.html,・ゴールまで250m以内で、 やや長い時間、脚が速くなり、 スタミナが少し増える,・2400、3000、3200m ・東京競馬場、京都競馬場 ・騎乗指示：差し,・自分,100%
迸る雷鳴,https://dabimas.jp/kouryaku/abilities/2768140523.html,・効果1（条件1を満たすと発揮） 常時、気性が荒くなるが、 脚が少し速くなり、根性がつく ・効果2（条件1、2を満たすと発揮） ゴールまで350m以内で、 やや長い時間、脚が速くなる,・条件1 1200、1600、2200、2500m 中山競馬場、京都競馬場 ・条件2 騎乗指示：差し,・効果1 自分 ・効果2 自分,100%
白輝聖夜,https://dabimas.jp/kouryaku/abilities/6547731432.html,・ゴールまで250m以内で、 短い時間、脚が速くなり、 スタミナが少し増える,・天候が晴、雪 ・1600～2200m ・阪神競馬場、中京競馬場,・自分,50%〜100%
本領,https://dabimas.jp/kouryaku/abilities/6588431412.html,・常時、スタミナが増える,・3000、3200m ・コンディションが好調以上,・自分,50%〜100%
聖夜の鐘,https://dabimas.jp/kouryaku/abilities/4217641573.html,・ゴールまで200m以内で、 短い時間、脚が速くなる,・福島競馬場、京都競馬場、 函館競馬場、札幌競馬場 ・騎乗指示：逃げ、先行,・自分,100%
聖夜,https://dabimas.jp/kouryaku/abilities/8214557367.html,・ゴールまで250m以内で、 短い時間、脚が速くなる,・天候が晴 ・1600～2000m ・中山競馬場、東京競馬場,・自分,100%
聖★電飾,https://dabimas.jp/kouryaku/abilities/1154727356.html,・効果1 常時、脚が少し速くなる ・効果2 ゴールまで400m以内で、 やや長い時間、脚が少し速くなる ・効果3 ゴールまで400m以内で、 やや長い時間、以下のどれかを発揮する 脚が速くなる スタミナが少し増える 競り合いで疲れづらくなる,・宝塚記念,・効果1 自分 ・効果2 自分 ・効果3 自分,100%
暴走,https://dabimas.jp/kouryaku/abilities/8315468263.html,・効果1（条件1を満たすと発揮） 常時、気性が荒くなる ・効果2（条件1、2を満たすと発揮） スタートから10m以降で、 短い時間、以下のどれかを発揮する 脚が速くなる スタミナが少し増える 持久力が上がる ・効果3（効果2と同時に発揮） 以下のどれかを発揮する 脚が少し速くなる スタミナが少し増える 競り合いで疲れづらくなる ・効果4（効果2と同時に発揮） 以下のどれかを発揮する 脚が遅くなる 競り合いで疲れづらくなる ※効果2～4は重複して発揮します,・条件1 中山競馬場、メイダン競馬場 ・条件2 騎乗指示：逃げ、先行,・効果1 自分 ・効果2 自分 ・効果3 自分 ・効果4 自分,100%
朴訥,https://dabimas.jp/kouryaku/abilities/9467535912.html,・ゴールまで200m以内で、 やや長い時間、脚が少し速くなる,・馬場状態が良、不良 ・阪神競馬場、京都競馬場,・自分,50%〜100%
没頭,https://dabimas.jp/kouryaku/abilities/4218643543.html,・常時、脚が少し速くなり、 気性が穏やかになる,・1200～1800m,・自分,50%〜80%
摩天楼,https://dabimas.jp/kouryaku/abilities/7468539612.html,・効果1（条件1を満たすと発揮） 常時、スタミナが少し増える ・効果2（条件1、2を満たすと発揮） 最後の直線で 短い時間、脚が速くなる,・条件1 2200～2500m 中山競馬場、阪神競馬場、 京都競馬場 ・条件2 騎乗指示：先行、差し、追込 3番手以下にいる時,・効果1 自分 ・効果2 自分,70%〜100%
真夏情景♪,https://dabimas.jp/kouryaku/abilities/7665243164.html,・効果1（条件1を満たすと発揮） 常時、スタミナが少し増え、 気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで200m以内で、 短い時間、脚が非常に速くなり、 スタミナが少し増える,・条件1 天候が晴、曇 1200～2200m 中山競馬場、阪神競馬場、 中京競馬場 ・条件2 騎乗指示：差し、追込,・効果1 自分 ・効果2 自分,100%
真夏★波音,https://dabimas.jp/kouryaku/abilities/7214657367.html,・ゴールまで200m以内で、 短い時間、脚が速くなり、 スタミナが少し増える,・2000～2400m ・中山競馬場、東京競馬場、 阪神競馬場 ・騎乗指示：逃げ,・自分,40%〜100%
真夏浜辺,https://dabimas.jp/kouryaku/abilities/1614536247.html,・ゴールまで400m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・ダートレース ・コンディションが好調以上,・自分,100%
真夏夜夢,https://dabimas.jp/kouryaku/abilities/0458265213.html,・ゴールから400m以内でやや長い時間 スタミナが少し増え、 その後、短い時間、脚が速くなる,・1600～2000m ・東京競馬場、阪神競馬場、 福島競馬場 ・芝レース ・4番手以上にいる時,・自分,70%〜100%
Marionette,https://dabimas.jp/kouryaku/abilities/6182546834.html,・ゴールまで250m以内で、 やや長い時間、脚が速くなるが、 疲れやすくなる,・宝塚記念 ・コンディションが好調以上 ・騎乗指示：追込,・自分,100%
磨励自彊,https://dabimas.jp/kouryaku/abilities/5744123612.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなる ・効果2（条件1、2を満たすと発揮） ゴールまで400m以内で、 長い時間、脚が少し速くなる,・条件1 1600、2000、2500m 中山競馬場、東京競馬場 ・条件2 騎乗指示：先行,・効果1 自分 ・効果2 自分,100%
漫才三昧,https://dabimas.jp/kouryaku/abilities/2167142663.html,・効果1 ゴールまで300m以内で、 やや長い時間、 競り合いで疲れづらくなる ・効果2 ゴールまで300m以内で、 短い時間、 以下のどれかを発揮する 脚が非常に速くなる 何も起こらない ※効果1と効果2は重複して発揮します,・2000m ・東京競馬場、大井競馬場 ・コンディションが好調以上,・効果1 自分 ・効果2 自分,100%
漫才三昧,https://dabimas.jp/kouryaku/abilities/3452551576.html,・効果1 ゴールまで300m以内で、 やや長い時間、 競り合いで疲れづらくなる ・効果2 ゴールまで300m以内で、 短い時間、 以下のどれかを発揮する 脚が非常に速くなる 何も起こらない ※効果1と効果2は重複して発揮します,・2000m ・東京競馬場、大井競馬場 ・コンディションが好調以上,・効果1 自分 ・効果2 自分,100%
澪標,https://dabimas.jp/kouryaku/abilities/4762581937.html,・常時、脚が少し速くなり、 スタミナが少し増え、 根性がつく,・菊花賞、天皇賞(春),・自分,50%〜100%
神秘記念♪,https://dabimas.jp/kouryaku/abilities/3452531776.html,・効果1 常時、脚が少し速くなり、 スタミナが少し増える ・効果2 最終コーナーで、 やや長い時間、脚が少し速くなり、 スタミナが少し増える ・効果3（効果2終了時） 短い時間、脚が非常に速くなる,・中山競馬場 ・コンディションが絶好調,・効果1 自分 ・効果2 自分 ・効果3 自分,80%
晦日宵,https://dabimas.jp/kouryaku/abilities/3614537217.html,・常時、脚が速くなり、 気性が穏やかになる,・1600～2000m ・芝レース ・コンディションが絶好調,・自分,30%〜70%
乱八千代,https://dabimas.jp/kouryaku/abilities/7895446231.html,・常時、脚が少し速くなり、 スタミナが少し増え、 根性がつき、気性が穏やかになる,・天候が晴、曇 ・馬場状態が良、稍重 ・芝レース ・年齢が3歳,・自分,70%〜85%
美月,https://dabimas.jp/kouryaku/abilities/5612364783.html,・ゴールまで250m以内で 短い時間、脚が速くなる,・東京競馬場、中京競馬場 ・騎乗指示：逃げ,・自分,100%
未来,https://dabimas.jp/kouryaku/abilities/8510603245.html,・常時、脚が速くなる,・朝日杯フューチュリティステークス,・自分,100%
未来導進♪,https://dabimas.jp/kouryaku/abilities/6537531462.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 根性がつく ・効果2（条件1、2を満たすと発揮） ゴールまで400m以内で、 短い時間、脚が少し速くなる ・効果3（効果2終了時） やや長い時間、脚が速くなる,・条件1 1600、2000、2400m 中山競馬場、東京競馬場、 京都競馬場 ・条件2 騎乗指示：差し,・効果1 自分 ・効果2 自分 ・効果3 自分,100%
未来鳳花,https://dabimas.jp/kouryaku/abilities/4218637513.html,・ゴールまで200m以内で、やや長い時間、 脚が少し速くなる,・コンディションが絶好調 ・騎手が福永騎手、内田騎手、 小牧騎手、池添騎手、 津村騎手,・自分,100%
奇跡★万福,https://dabimas.jp/kouryaku/abilities/1614539217.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで200m以内で、 やや長い時間、脚が速くなり、 スタミナが少し増える,・条件1 馬場状態が良、稍重 1600～2500m 中山競馬場、中京競馬場、 シャティン競馬場 ・条件2 騎乗指示：逃げ、先行 3番手以上にいる時,・効果1 自分 ・効果2 自分,100%
奇跡革命★,https://dabimas.jp/kouryaku/abilities/6547531452.html,・ゴールまで550m以内で、 やや長い時間、脚が速くなる,・天候が晴 ・2400～2500m ・中山競馬場、東京競馬場、 ロンシャン競馬場 ・騎乗指示：先行,・自分,100%
魅了,https://dabimas.jp/kouryaku/abilities/6548731422.html,・より良いファンから 報酬をもらいやすくなる,・BCのみ,・自分,100%
無我,https://dabimas.jp/kouryaku/abilities/1574820356.html,・ゲートでの出遅れを抑える,・イレ込んでいる,・自分,10%〜100%
無我夢中,https://dabimas.jp/kouryaku/abilities/8665243154.html,・ゴールまで240m以内で やや長い時間、脚が少し速くなる,・1600～2000m ・新潟競馬場、福島競馬場、 函館競馬場、札幌競馬場,・自分,70%〜100%
無響華月,https://dabimas.jp/kouryaku/abilities/7765243127.html,・効果1（条件1を満たすと発揮） 常時、根性がつき、 気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで300m以内で、 やや長い時間、脚が速くなる,・条件1 1600～2410m 阪神競馬場、京都競馬場、 メイダン競馬場 ・条件2 騎乗指示：先行,・効果1 自分 ・効果2 自分,100%
無気力,https://dabimas.jp/kouryaku/abilities/2860149503.html,・ゴールまで600m以内で、 やや長い時間、 対象を競り合いで疲れやすくする,・安田記念 ・5番手以下にいる時,・自分より順位の高い相手へ ・自分以外の相手へ ・騎乗指示：先行 ・相手競走馬2頭,30%〜50%
夢幻泡影,https://dabimas.jp/kouryaku/abilities/1244727356.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなる ・効果2（条件1、2を満たすと発揮） ゴールまで300m以内で、 やや長い時間、脚が速くなる,・条件1 天候が晴、曇 1600、2410m 東京競馬場、メイダン競馬場 ・条件2 騎乗指示：先行,・効果1 自分 ・効果2 自分,100%
虫ノ知,https://dabimas.jp/kouryaku/abilities/5112364878.html,・ゴールまで550m以内で、 やや長い時間、脚が少し速くなる,・菊花賞、天皇賞(春),・自分,100%
夢醒空曙♪,https://dabimas.jp/kouryaku/abilities/3452681176.html,・効果1 ゴールまで350m以内で、 やや長い時間、脚が速くなる ・効果2 ゴールまで350m以内で、 短い時間、以下のどれかを発揮する 脚が速くなる スタミナが少し増える 競り合いで疲れづらくなる,・2000～3200m ・阪神競馬場、京都競馬場 ・騎乗指示：先行,・効果1 自分 ・効果2 自分,100%
夢走,https://dabimas.jp/kouryaku/abilities/8565243128.html,・最後の直線で、短い時間 脚が少し速くなる,・馬場状態が良 ・芝レース ・GI/JpnIレース ・コンディションが絶好調,・自分,100%
無想転生,https://dabimas.jp/kouryaku/abilities/4217604673.html,・効果1 ゴールまで150m以内で、短い時間 脚が速くなり、その後、短い時間 更に脚が速くなる ・効果2 特殊演出が発生する,・1200～1800m ・中山競馬場、東京競馬場、 メイダン競馬場 ・騎乗指示：差し、追込,・自分,100%
無辺際,https://dabimas.jp/kouryaku/abilities/3126740550.html,・効果1（条件1を満たすと発揮） 常時、根性がつく ・効果2（条件1、2を満たすと発揮） ゴールまで200m以内で、 やや長い時間、脚が速くなり、 スタミナが少し増える,・条件1 1600～2500m 中山競馬場、阪神競馬場、 京都競馬場 ・条件2 騎乗指示：逃げ、先行,・効果1 自分 ・効果2 自分,70%〜100%
迷画伯,https://dabimas.jp/kouryaku/abilities/2491266213.html,・効果1（条件1を満たすと発揮） 常時、スタミナが少し増え、 根性がつき、気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで250m以内で、 やや長い時間、脚が速くなる ・効果3（条件1、2を満たすと発揮） ゴールまで250m以内で、 短い時間、対象の脚を遅くする,・条件1 天候が晴、雨 2000～2400m 東京競馬場 コンディションが絶好調 ・条件2 騎乗指示：追込,・効果1 自分 ・効果2 自分 ・効果3 騎乗指示：先行 相手競走馬1頭,70%〜100%
銘心,https://dabimas.jp/kouryaku/abilities/3264185305.html,・最後の直線で、 長い時間、脚が少し速くなり、 競り合いで疲れづらくなる,・2200～2500m ・芝レース ・騎乗指示：差し,・自分,70%〜100%
名人気質,https://dabimas.jp/kouryaku/abilities/3275194699.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 根性がつき、気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで250m以内で、 やや長い時間、脚が速くなり、 スタミナが少し増える,・条件1 馬場状態が良、稍重 2000m 東京競馬場、阪神競馬場、 京都競馬場、大井競馬場 ・条件2 騎乗指示：先行,・効果1 自分 ・効果2 自分,100%
名声,https://dabimas.jp/kouryaku/abilities/2860140593.html,・常時、スタミナが増える,・有馬記念,・自分,100%
明朗快活★,https://dabimas.jp/kouryaku/abilities/3126940053.html,・効果1（条件1を満たすと発揮） 常時、根性がつき、 気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで325m以内で、 長い時間、脚が速くなり、 スタミナが少し増える,・条件1 2000、3000、3200m 阪神競馬場、京都競馬場 ・条件2 騎乗指示：追込,・効果1 自分 ・効果2 自分,100%
女神ノ祝福,https://dabimas.jp/kouryaku/abilities/7132546739.html,・ゴールまで400m以内で、 やや長い時間、脚が速くなる,・天候が晴 ・1200～2000m ・東京競馬場、阪神競馬場、 中京競馬場 ・コンディションが好調以上,・自分,100%
記念★歓喜,https://dabimas.jp/kouryaku/abilities/5904523610.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 スタミナが少し増える ・効果2（条件1、2を満たすと発揮） ゴールまで400m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・条件1 安田記念、宝塚記念、 有馬記念、フェブラリーステークス ・条件2 騎乗指示：逃げ、先行,・効果1 自分 ・効果2 自分,100%
面向不背,https://dabimas.jp/kouryaku/abilities/6557331462.html,・効果1（条件1を満たすと発揮） 常時、気性が穏やかになる ・効果2（条件1、2を満たすと発揮） 最後の直線で、 やや長い時間、脚が速くなる,・条件1 2200、2400m 東京競馬場、京都競馬場、 ロンシャン競馬場 ・条件2 騎乗指示：先行,・効果1 自分 ・効果2 自分,100%
猛虎伏草,https://dabimas.jp/kouryaku/abilities/6507631482.html,・効果1 常時、根性がつき、 気性が穏やかになる ・効果2 ゴールまで550m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・馬場状態が良、稍重 ・1200～2000m ・京都競馬場、中京競馬場、 シャティン競馬場、大井競馬場,・効果1 自分 ・効果2 自分,100%
猛暑,https://dabimas.jp/kouryaku/abilities/6537631452.html,・ゴールまで200m以内で、 短い時間、脚が速くなる,・1800、2200、2400m ・東京競馬場、京都競馬場、 中京競馬場,・自分,100%
目前,https://dabimas.jp/kouryaku/abilities/5212364688.html,・ゴールまで100m以内で、短い時間 脚が少し速くなる,・天候が晴 ・1800～2200m,・自分,100%
紅葉駆け,https://dabimas.jp/kouryaku/abilities/6517931442.html,・常時、スタミナが増える,・ジャパンカップ、有馬記念、 天皇賞(秋),・自分,100%
桃色ショコラ,https://dabimas.jp/kouryaku/abilities/5724523610.html,・スタートから50m以降で、 短い時間、脚が少し速くなる,・2000～2500m ・中山競馬場、札幌競馬場,・自分,100%
桃色マカロン,https://dabimas.jp/kouryaku/abilities/5734023614.html,・常時、スタミナが少し増え、 根性がつき、気性が穏やかになる,・2410～3200m ・中山競馬場、京都競馬場、 メイダン競馬場 ・コンディションが好調以上,・自分,100%
桃の節句★,https://dabimas.jp/kouryaku/abilities/6537431472.html,・効果1 常時、脚が少し速くなり、 スタミナが少し増え、 根性がつき、気性が穏やかになる ・効果2 最後の直線で、 やや長い時間、脚が少し速くなる ・効果3（効果2終了時） 短い時間、脚が非常に速くなる,・桜花賞、ヴィクトリアマイル、 オークス、秋華賞、 エリザベス女王杯、 阪神ジュベナイルフィリーズ,・効果1 自分 ・効果2 自分 ・効果3 自分,70%〜90%
燃ゆる心魂,https://dabimas.jp/kouryaku/abilities/1084725356.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 スタミナが少し増える ・効果2（条件1、2を満たすと発揮） ゴールまで225m以内で、 短い時間、脚が非常に速くなる,・条件1 天候が晴、曇 1200～2200m 阪神競馬場、京都競馬場、 中京競馬場 ・条件2 騎乗指示：逃げ、先行,・効果1 自分 ・効果2 自分,100%
茂林,https://dabimas.jp/kouryaku/abilities/5764123610.html,・効果1（条件1を満たすと発揮） 常時、気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで300m以内で、 短い時間、脚が非常に速くなる,・条件1 2000～2400m 中山競馬場、東京競馬場 ・条件2 騎乗指示：先行,・効果1 自分 ・効果2 自分,100%
もんじゃ焼き,https://dabimas.jp/kouryaku/abilities/6360124019.html,・ゴールまで300m以内で、 やや長い時間、脚が少し速くなり、 スタミナが少し増える,・1600、2400m ・東京競馬場 ・芝レース,・自分,100%
八雲,https://dabimas.jp/kouryaku/abilities/2865140543.html,・常時、脚が少し速くなり、 スタミナが少し増え、気性が穏やかになる,・1800m ・芝レース,・自分,70%〜100%
八千代,https://dabimas.jp/kouryaku/abilities/6985456231.html,・常時、脚が少し速くなり、 スタミナが少し増え、 根性がつき、気性が穏やかになる,・天候が晴 ・馬場状態が良 ・芝レース ・年齢が3歳,・自分,50%〜80%
夜吹風鈴★,https://dabimas.jp/kouryaku/abilities/7211633245.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなる ・効果2（条件1、2を満たすと発揮） ゴールまで300m以内で、 やや長い時間、脚が速くなる,・条件1 1200～1800m 京都競馬場、中京競馬場、 シャティン競馬場 ・条件2 騎乗指示：先行,・効果1 自分 ・効果2 自分,100%
雄偉,https://dabimas.jp/kouryaku/abilities/3452061976.html,・常時、脚が少し速くなり、 スタミナが少し増え、 根性がつき、気性が穏やかになる,・天皇賞(秋)、ジャパンカップ、 有馬記念,・自分,70%〜100%
悠遠,https://dabimas.jp/kouryaku/abilities/7315468264.html,・最後の直線で、 短い時間、脚が少し速くなる,・東京競馬場、阪神競馬場、 京都競馬場 ・芝レース ・コンディションが絶好調,・自分,100%
勇牙裂傷,https://dabimas.jp/kouryaku/abilities/4214757369.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなる ・効果2（条件1、2を満たすと発揮） ゴールまで200m以内で、 やや長い時間、脚が速くなる,・条件1 2000～2500m 中山競馬場、京都競馬場 コンディションが好調以上 ・条件2 騎乗指示：追込,・効果1 自分 ・効果2 自分,100%
勇気凛リン,https://dabimas.jp/kouryaku/abilities/6508431492.html,・ゴールまで200m以内で、 やや長い時間、脚が少し速くなり、 競り合いで疲れづらくなる,・天候が晴 ・東京競馬場,・自分,100%
有終完美★,https://dabimas.jp/kouryaku/abilities/9665243171.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで350m以内で、 短い時間、脚が速くなり、 スタミナが少し増える ・効果3（効果2終了時） やや長い時間、脚が速くなる,・条件1 皐月賞、日本ダービー、 菊花賞 ・条件2 騎乗指示：追込,・効果1 自分 ・効果2 自分 ・効果3 自分,100%
憂駿,https://dabimas.jp/kouryaku/abilities/1394820356.html,・常時、脚が速くなる,・決戦！懐かしの名馬！？上級のみ,・自分,100%
優駿道,https://dabimas.jp/kouryaku/abilities/4217691523.html,・常時、脚が少し速くなり、 根性がつく,・日本ダービー,・自分,100%
優駿★高鳴,https://dabimas.jp/kouryaku/abilities/7315487263.html,・ゴールまで200m以内で、 短い時間、脚が非常に速くなる,・馬場状態が良、稍重 ・1200、1800、2000m ・中京競馬場、メイダン競馬場、 シャティン競馬場 ・騎乗指示：差し、追込,・自分,50%〜100%
勇進,https://dabimas.jp/kouryaku/abilities/4217603593.html,・常時、脚が少し速くなり、 根性がつく,・天候が晴 ・1600、2000m ・東京競馬場、阪神競馬場,・自分,100%
悠然,https://dabimas.jp/kouryaku/abilities/2860144553.html,・常時、スタミナが少し増えて、 気性が穏やかになる,・馬場状態が重、不良 ・東京競馬場、京都競馬場,・自分,100%
夕月夜祝詠,https://dabimas.jp/kouryaku/abilities/9192546731.html,・効果1（条件1を満たすと発揮） 常時、根性がつき、 気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで200m以内で、 やや長い時間、脚が速くなり、 スタミナが少し増える,・条件1 天候が晴 2200～2410m 東京競馬場、京都競馬場、 メイダン競馬場 ・条件2 騎乗指示：先行,・効果1 自分 ・効果2 自分,100%
夕凪夜咲★,https://dabimas.jp/kouryaku/abilities/2766144503.html,・効果1（条件1を満たすと発揮） 常時、根性がつく ・効果2（条件1、2を満たすと発揮） ゴールまで400m以内で、 長い時間、脚が少し速くなり、 競り合いで疲れづらくなる,・条件1 天候が晴 1600、2000、2200m 中山競馬場、東京競馬場、 阪神競馬場 ・条件2 騎乗指示：逃げ、先行,・効果1 自分 ・効果2 自分,100%
酉杯,https://dabimas.jp/kouryaku/abilities/8265243176.html,・常時、スタミナが増える,・大阪杯,・自分,100%
優美高妙,https://dabimas.jp/kouryaku/abilities/2447265213.html,・常時、脚が速くなり、 根性がつき、気性が穏やかになる,・1800～2410m ・メイダン競馬場、シャティン競馬場,・自分,50%〜80%
愉快な盆踊り,https://dabimas.jp/kouryaku/abilities/7165243169.html,・効果1（条件1を満たすと発揮） 常時、根性がつく ・効果2（条件1、2を満たすと発揮） ゴールまで275m以内で、 やや長い時間、脚が速くなる,・条件1 1800～2410m 東京競馬場、京都競馬場、 メイダン競馬場 芝レース ・条件2 騎乗指示：逃げ,・効果1 自分 ・効果2 自分,100%
行合之空★,https://dabimas.jp/kouryaku/abilities/8214357369.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなる ・効果2（条件1、2を満たすと発揮） ゴールまで300m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・条件1 天候が晴、曇 2000、2200、2400m 阪神競馬場、京都競馬場、 ロンシャン競馬場 ・条件2 騎乗指示：逃げ、先行,・効果1 自分 ・効果2 自分,100%
雪風花,https://dabimas.jp/kouryaku/abilities/4214857368.html,・ゴールまで250m以内で、 やや長い時間、脚が速くなる,・2000～2200m ・阪神競馬場、メイダン競馬場 ・コンディションが好調以上 ・騎乗指示：差し,・自分,100%
雪解朝光,https://dabimas.jp/kouryaku/abilities/2764144523.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 根性がつく ・効果2（条件1、2を満たすと発揮） ゴールまで200m以内で、 やや長い時間、脚が速くなり、 スタミナが少し増える,・条件1 馬場状態が良、稍重 1600、2000m 東京競馬場、阪神競馬場 ・条件2 騎乗指示：差し、追込,・効果1 自分 ・効果2 自分,100%
雪だるま♪,https://dabimas.jp/kouryaku/abilities/8315457265.html,・最後の直線で、 やや長い時間、脚が少し速くなり、 スタミナが少し増える,・天候が晴、曇 ・馬場状態が良、稍重 ・2000～3200m ・阪神競馬場、京都競馬場 ・芝レース ・騎乗指示：逃げ、先行,・自分,100%
夢心地,https://dabimas.jp/kouryaku/abilities/4217619523.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなる ・効果2（条件1、2を満たすと発揮） ゴールまで200m以内で、 やや長い時間、脚が速くなる,・条件1 天候が晴、曇 馬場状態が良、稍重 2400～3200m 東京競馬場、京都競馬場 コンディションが好調以上 ・条件2 騎乗指示：逃げ,・効果1 自分 ・効果2 自分,100%
夢ニ駆ケル,https://dabimas.jp/kouryaku/abilities/0264175327.html,・効果1（条件1を満たすと発揮） 常時、気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで400m以内で、 やや長い時間、脚が速くなる,・条件1 1600、2400m 東京競馬場 ・条件2 騎乗指示：逃げ、先行,・効果1 自分 ・効果2 自分,100%
夢ノ伝説♪,https://dabimas.jp/kouryaku/abilities/3452651476.html,・効果1（条件1を満たすと発揮） 常時、スタミナが少し増え、 気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで400m以内で、 やや長い時間、脚が速くなる,・条件1 2200～2500m 中山競馬場、阪神競馬場、 京都競馬場 ・条件2 騎乗指示：追込,・効果1 自分 ・効果2 自分,100%
夢見る★恋心,https://dabimas.jp/kouryaku/abilities/1064727356.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなる ・効果2（条件1、2を満たすと発揮） ゴールまで300m以内で、 やや長い時間、脚が非常に速くなり、 スタミナが少し増える,・条件1 天候が晴 1200、1800、2000、2410m 阪神競馬場、中京競馬場、 メイダン競馬場 ・条件2 騎乗指示：追込,・効果1 自分 ・効果2 自分,100%
夢物語★祝,https://dabimas.jp/kouryaku/abilities/4217672533.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 気性が穏やかになる ・効果2（条件1、2を満たすと発揮） 最後の直線で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・条件1 1200～2500m 中山競馬場、京都競馬場、 中京競馬場 コンディションが好調以上 ・条件2 騎乗指示：差し,・効果1 自分 ・効果2 自分,60%〜100%
揺らがぬ意志,https://dabimas.jp/kouryaku/abilities/5812364079.html,・ゴールまで400m以内で、 やや長い時間、脚が速くなる,・天候が晴、曇 ・2000、2400、3000m ・中山競馬場、東京競馬場、 京都競馬場 ・騎乗指示：逃げ,・自分,100%
葉光,https://dabimas.jp/kouryaku/abilities/1274724356.html,・常時、脚が少し速くなり、 気性が穏やかになる,・天候が晴、曇 ・馬場状態が良、稍重 ・皐月賞、日本ダービー、 菊花賞、桜花賞、 オークス ・コンディションが絶好調,・自分,100%
陽春,https://dabimas.jp/kouryaku/abilities/6614534217.html,・ゴールまで350m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・2200～3200m ・東京競馬場、京都競馬場 ・騎乗指示：逃げ,・自分,100%
鷹視狼歩,https://dabimas.jp/kouryaku/abilities/7965243161.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなる ・効果2（条件1、2を満たすと発揮） ゴールまで400m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・条件1 馬場状態が良 2000～2200m 東京競馬場、阪神競馬場 ・条件2 騎乗指示：差し,・効果1 自分 ・効果2 自分,100%
抑圧,https://dabimas.jp/kouryaku/abilities/9214758363.html,・ゴールまで400m以内で、やや長い時間 対象を疲れやすくする,・マイルチャンピオンシップ ・6番手以下にいる時,・自分より順位の高い相手へ ・自分以外の相手へ ・騎乗指示：先行 ・相手競走馬3頭,30%〜50%
装艶,https://dabimas.jp/kouryaku/abilities/8112546839.html,・常時、脚が少し速くなり、 スタミナが増える,・天候が晴 ・馬場状態が良、稍重 ・2000～2400m ・東京競馬場、京都競馬場、 ロンシャン競馬場,・自分,100%
夜空祝祭,https://dabimas.jp/kouryaku/abilities/7565243192.html,・効果1 常時、脚が少し速くなり、 根性がつく ・効果2 ゴールまで400m以内で、 やや長い時間、脚が少し速くなる ・効果3（効果2終了時） 短い時間、脚が非常に速くなる,・天候が晴、曇 ・2400m ・コンディションが絶好調,・効果1 自分 ・効果2 自分 ・効果3 自分,80%〜100%
羅刹,https://dabimas.jp/kouryaku/abilities/3418365213.html,・ゴールまで500m以内で、 長い時間、脚が少し速くなり、 持久力が上がる,・馬場状態が良、稍重 ・1600～2500m ・中山競馬場、新潟競馬場、 京都競馬場、札幌競馬場 ・騎乗指示：差し、追込,・自分,70%〜100%
神速蹴技,https://dabimas.jp/kouryaku/abilities/0621301466.html,・効果1 常時、気性が穏やかになる ・効果2 スタートから50m以降で、 短い時間、脚が非常に速くなる,・天候が晴、曇 ・1200～1800m ・中山競馬場、京都競馬場、 中京競馬場、メイダン競馬場 ・芝レース,・効果1 自分 ・効果2 自分,100%
